Train Size	Train Acc Mean	Val Acc Mean	Test Acc Mean	Train Acc Median	Val Acc Median	Test Acc Median	Train Acc Std	Val Acc Std	Test Acc Std
2500	0.9973676860332489	0.9327676713466644	0.9365012049674988	0.999565988779068	0.9314805269241333	0.9365605413913727	0.005510357349032178	0.013482643316009721	0.008003772471280096
5000	0.9985156297683716	0.9620958864688873	0.963666957616806	1.0	0.9594557881355286	0.9659315943717957	0.002497390562035392	0.0055111969595003675	0.0047583169367755185
7500	0.9967959761619568	0.975904381275177	0.967573207616806	0.997641533613205	0.9778764545917511	0.9687500298023224	0.003390000484157127	0.0051732598666496855	0.0044642791267447725
10000	0.996289598941803	0.9711087703704834	0.9728243947029114	0.9992847442626953	0.9709660410881042	0.9748319089412689	0.005084521343895334	0.004702231415654619	0.0051429969814799385
12500	0.9956944167613984	0.9677694737911224	0.9736452043056488	0.9976419508457184	0.9683036208152771	0.9738430082798004	0.004636410797935684	0.004769314586775388	0.0025666555949201393
15000	0.9962033271789551	0.9764832496643067	0.9742385447025299	0.9961306154727936	0.9767748415470123	0.973842978477478	0.0033997911866392025	0.001244405850749293	0.0029444328554505644
17500	0.9965977668762207	0.979172307252884	0.9782239198684692	0.9980153441429138	0.9789504110813141	0.9785403609275818	0.004376761813487993	0.00278691456492037	0.002642398534570187
20000	0.995501971244812	0.9761523365974426	0.9787381589412689	0.9958554804325104	0.9764648377895355	0.9794304072856903	0.0034318172832887147	0.0027872546119098577	0.0026572464070529784
22500	0.9956908047199249	0.9838847100734711	0.9798754155635834	0.9950864613056183	0.9837415814399719	0.9796776175498962	0.0017609603461706629	0.0018508435078494708	0.0024197793111228384
25000	0.9954687535762787	0.9819370746612549	0.9799940884113312	0.9953773021697998	0.9815602004528046	0.9802709817886353	0.0030099736928621366	0.0015142899745375462	0.002539755410212147
27500	0.994963002204895	0.9821263730525971	0.9803896725177765	0.9948453307151794	0.9824104607105255	0.9805676639080048	0.0017867957289882008	0.001970356047325238	0.0013235455618231713
30000	0.9949780702590942	0.981994092464447	0.9809632360935211	0.9945189654827118	0.9822824001312256	0.981210470199585	0.00164200550287778	0.0013612074437848263	0.0016117122164985087
32500	0.9943523168563843	0.9834218978881836	0.9816060364246368	0.9940137565135956	0.9831550717353821	0.9822982847690582	0.002081079157184262	0.001742458674461507	0.0017554797471592738
35000	0.9949772596359253	0.983329975605011	0.9833366572856903	0.9952872395515442	0.9834111630916595	0.9830399751663208	0.00254831128772363	0.001465562779626662	0.0022638727259356724
37500	0.9951765477657318	0.9811362802982331	0.9818928182125092	0.9953319430351257	0.981901079416275	0.9821499288082123	0.0017147968781124003	0.0016313268738289673	0.0012408295220382546
40000	0.9946891248226166	0.98544921875	0.9837223291397095	0.9945977032184601	0.985107421875	0.9837816655635834	0.0017431278074457777	0.0018918054291725637	0.001879359016122792
42500	0.9950923681259155	0.9853418529033661	0.9836926698684693	0.9956180155277252	0.9860983490943909	0.9834850132465363	0.0022243306838523203	0.0021782534409895784	0.0021370527103251797
45000	0.9935221493244171	0.9834071457386017	0.9833366632461548	0.9931363463401794	0.983420193195343	0.9834849834442139	0.0020974671383206544	0.001577299533889625	0.0015215384316284543
47500	0.9938854098320007	0.9849712193012238	0.9834750950336456	0.9943858981132507	0.9847861528396606	0.9833860993385315	0.0028972952304281846	0.0008418389958574258	0.001334504234396287
50000	0.9944518685340882	0.9844726622104645	0.9837618887424469	0.9939186871051788	0.9847656190395355	0.983534425497055	0.002093441246124473	0.0019709527783742945	0.0012270470096103073
52500	0.9943011283874512	0.9855654954910278	0.9841673493385314	0.994193434715271	0.9860491156578064	0.9841277897357941	0.0026294348563728294	0.001228240337890232	0.002230121816909483
55000	0.9936552405357361	0.9857892215251922	0.9848595976829528	0.9941821396350861	0.9860101640224457	0.9850672781467438	0.002374122001619094	0.0015607147275624603	0.001171454963159355
57500	0.9933056533336639	0.9853857755661011	0.9845431447029114	0.993161678314209	0.9855461120605469	0.985116720199585	0.002619681063312185	0.0011902785017087092	0.002270966889397581
60000	0.9948182523250579	0.9847050607204437	0.9843552470207214	0.9945254921913147	0.9849923849105835	0.9841772317886353	0.002081750709025925	0.001200866564105966	0.0008952749460595717
