Train Size	Train Acc Mean	Val Acc Mean	Test Acc Mean	Train Acc Median	Val Acc Median	Test Acc Median	Train Acc Std	Val Acc Std	Test Acc Std
2500	0.8789473116397858	0.36691213548183443	0.3300237417221069	0.9605386555194855	0.37592853605747223	0.3389537185430527	0.13680431462544967	0.046885638509697826	0.0347425038767604
5000	0.8317144274711609	0.3758216589689255	0.35213608145713804	0.835308164358139	0.38210533559322357	0.35729825496673584	0.11414448578169159	0.02187118096962272	0.021947622510962966
7500	0.7874272644519806	0.3925970882177353	0.37856013476848605	0.7836430072784424	0.3969578891992569	0.38202138245105743	0.17610279617783325	0.04328564358017612	0.03769802786907008
10000	0.8428543031215667	0.4241436243057251	0.4152689963579178	0.86955326795578	0.42747144401073456	0.4165842682123184	0.12935414958472383	0.026943405258267644	0.028393925451892375
12500	0.7408888727426529	0.43641901910305025	0.4315565824508667	0.7482852041721344	0.44060109555721283	0.42573182284832	0.17789816673259543	0.026093928086032146	0.02404251421441305
15000	0.7374110698699952	0.45820878744125365	0.43918118476867674	0.7468529045581818	0.45997509360313416	0.4403678923845291	0.16791771918805293	0.02601037988818299	0.020779487297951066
17500	0.7514196753501892	0.4705487132072449	0.4557753264904022	0.7150117754936218	0.4651487469673157	0.4547567367553711	0.15372265322710874	0.025292111786383714	0.029752209162101435
20000	0.8250398695468902	0.4859081953763962	0.4669007211923599	0.8606604635715485	0.4935546815395355	0.47186511754989624	0.10951117213422595	0.025499023017555918	0.025754842683944273
22500	0.7250305950641632	0.4872841745615005	0.4827333986759186	0.7082161605358124	0.49046899378299713	0.49169304966926575	0.1400579964947246	0.02645417106721194	0.030705633599305348
25000	0.7605571985244751	0.5072564423084259	0.5052709758281708	0.7275319695472717	0.5059972703456879	0.5038568079471588	0.12829154703498863	0.017591112112721855	0.02083385561408193
27500	0.7898355007171631	0.49773186445236206	0.4902591109275818	0.8071553707122803	0.48829270899295807	0.4850672632455826	0.10620755360431045	0.023881406885993654	0.025272439320238708
30000	0.7567313551902771	0.5065150827169418	0.5020075231790543	0.7262625992298126	0.5105096995830536	0.5080102980136871	0.09739650594401289	0.027068681481603275	0.02648285921557286
32500	0.7711722254753113	0.5283413589000702	0.5124307900667191	0.8092419505119324	0.5270072221755981	0.5121637880802155	0.11681785519797104	0.020986858264770883	0.022031540190794025
35000	0.7589111149311065	0.538666832447052	0.5271558642387391	0.7576332986354828	0.53168123960495	0.5197784900665283	0.07483803679273317	0.025627790747886552	0.021517849705519603
37500	0.8040883839130402	0.5464240968227386	0.5485858500003815	0.8003064393997192	0.5455386638641357	0.5456388294696808	0.12152336298453846	0.02746895781451983	0.02725857105789539
40000	0.7678163647651672	0.54033203125	0.5337816536426544	0.7629376947879791	0.540771484375	0.5286788046360016	0.08890370142411455	0.017198316465090367	0.019737296367748083
42500	0.8090216994285584	0.5445330440998077	0.5401008784770965	0.8372643887996674	0.5423854887485504	0.5419303774833679	0.11376584483355263	0.01674568735794267	0.015167180407089233
45000	0.7739095509052276	0.5565581619739532	0.554657843708992	0.7534389495849609	0.5656684041023254	0.5685818791389465	0.08512167810917118	0.02477736687174809	0.028726952752767244
47500	0.7844344675540924	0.5685855209827423	0.5582476377487182	0.7682805955410004	0.5659363269805908	0.5585443377494812	0.08578073859476353	0.01277136857976517	0.012561895579750106
50000	0.7427184700965881	0.5712109506130219	0.5612045168876648	0.7239435613155365	0.5751953125	0.5654667913913727	0.07823360086044535	0.016907083837578295	0.01376105050425318
